Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Statement - afterText = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/ThirdPartyPayment/Detail_Page/text_ThirdPartyAccount)),Chrome 67.0.3396.99,\u53D6\u5F97\u7EBF\u4E0A\u652F\u4ED8\u660E\u7EC6\u300C\u5546\u6236\u300D,2018-07-06 14:26:10,2018-07-06 14:26:11,0.637s,PASSED
verifyEqual,Chrome 67.0.3396.99,\u6BD4\u8F03\u5546\u6236\u662F\u5426\u76F8\u540C,2018-07-06 14:26:11,2018-07-06 14:26:11,0.002s,PASSED
Start listener action : AfterTestCase,Chrome 67.0.3396.99,,2018-07-06 14:26:11,2018-07-06 14:26:11,0.638s,PASSED
,,,,,,
Test Cases/TC_Online Payment Bulletin/TC_OnlinePaymentBulletin07,Chrome 67.0.3396.99,,2018-07-06 14:26:11,2018-07-06 14:26:23,11.768s,PASSED
Start listener action : BeforeTestCase,Chrome 67.0.3396.99,,2018-07-06 14:26:11,2018-07-06 14:26:16,4.563s,PASSED
common.MasterLogin.Login,Chrome 67.0.3396.99,,2018-07-06 14:26:16,2018-07-06 14:26:19,3.555s,PASSED
common.MenuIntoPage.getDropdownMenu,Chrome 67.0.3396.99,\u5E33\u52D9\u7BA1\u7406 -> \u7DDA\u4E0A\u652F\u4ED8\u770B\u677F,2018-07-06 14:26:19,2018-07-06 14:26:20,0.242s,PASSED
click,Chrome 67.0.3396.99,\u641C\u5C0B,2018-07-06 14:26:20,2018-07-06 14:26:20,0.632s,PASSED
Statement - beforeText = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/ThirdPartyPayment/Index_Page/text_Operator)),Chrome 67.0.3396.99,\u53D6\u5F97\u6B32\u67E5\u8A62\u7684\u300C\u64CD\u4F5C\u4EBA\u54E1\u300D,2018-07-06 14:26:20,2018-07-06 14:26:21,0.993s,PASSED
waitForElementClickable,Chrome 67.0.3396.99,\u7EBF\u4E0A\u652F\u4ED8\u770B\u677F--\u641C\u5BFB,2018-07-06 14:26:21,2018-07-06 14:26:21,0.035s,PASSED
setText,Chrome 67.0.3396.99,\u8F38\u5165\u64CD\u4F5C\u4EBA\u54E1,2018-07-06 14:26:21,2018-07-06 14:26:22,0.211s,PASSED
click,Chrome 67.0.3396.99,\u641C\u5C0B,2018-07-06 14:26:22,2018-07-06 14:26:22,0.116s,PASSED
extension.UIMethod.clickUsingJS,Chrome 67.0.3396.99,\u9EDE\u64CA\u641C\u5C0B\u7D50\u679CID,2018-07-06 14:26:22,2018-07-06 14:26:22,0.050s,PASSED
Statement - afterText = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/ThirdPartyPayment/Detail_Page/text_Operator)),Chrome 67.0.3396.99,\u53D6\u5F97\u7EBF\u4E0A\u652F\u4ED8\u660E\u7EC6\u300C\u64CD\u4F5C\u4EBA\u54E1\u300D,2018-07-06 14:26:22,2018-07-06 14:26:22,0.631s,PASSED
verifyEqual,Chrome 67.0.3396.99,\u6BD4\u8F03\u64CD\u4F5C\u4EBA\u54E1\u662F\u5426\u76F8\u540C,2018-07-06 14:26:22,2018-07-06 14:26:22,0.000s,PASSED
Start listener action : AfterTestCase,Chrome 67.0.3396.99,,2018-07-06 14:26:22,2018-07-06 14:26:23,0.643s,PASSED
